Player,Pos,Total Points,STD,ID
Joshua Kelley,RB,50.8,3.69,287
JaMycal Hasty,RB,49.5,4.73,288
Jamal Agnew,WR,49.3,4.46,289
Jelani Woods,TE,49.2,3.98,290
Jameis Winston,QB,48.9,6.53,291
Trenton Irwin,WR,48.2,4.89,292
Rashaad Penny,RB,48.2,6.7,293
Randall Cobb,WR,47.7,3.16,294
Jauan Jennings,WR,47.6,2.76,295
Kyle Pitts,TE,47.6,3.88,296
Rondale Moore,WR,46.9,4.57,297
Julio Jones,WR,46.4,3.55,298
Dante Pettis,WR,46.2,4.12,299
Zonovan Knight,RB,46.0,4.52,300
Laviska Shenault Jr.,WR,45.7,4.27,301
Jarrett Stidham,QB,45.6,7.26,302
Brock Wright,TE,45.6,4.01,303
Ben Skowronek,WR,45.3,3.38,304
Tutu Atwell,WR,45.2,3.76,305
Daniel Bellinger,TE,45.0,3.16,306
Tyquan Thornton,WR,44.3,4.63,307
Nelson Agholor,WR,44.2,4.72,308
Colby Parkinson,TE,44.2,3.18,309
Ray-Ray McCloud III,WR,44.1,3.95,310
Equanimeous St. Brown,WR,43.7,2.75,311
Justin Watson,WR,43.5,3.25,312
Hunter Renfrow,WR,43.0,3.61,313
Caleb Huntley,RB,42.9,3.37,314
P.J. Walker,QB,42.1,5.35,315
Teddy Bridgewater,QB,42.0,5.68,316
Noah Gray,TE,42.0,2.13,317
Bailey Zappe,QB,41.6,4.95,318
Kadarius Toney,WR,41.3,4.32,319
Boston Scott,RB,41.2,3.45,320
Elijah Mitchell,RB,40.6,4.62,321
Dustin Hopkins,K,40.0,4.07,322
Gardner Minshew II,QB,39.8,6.5,323
Matt Breida,RB,39.8,2.35,324
Braxton Berrios,WR,39.7,2.62,325
Shi Smith,WR,39.6,3.52,326
Justin Jackson,RB,39.1,2.86,327
MyCole Pruitt,TE,39.0,3.13,328
Damiere Byrd,WR,38.8,4.25,329
Desmond Ridder,QB,38.7,4.55,330
Sam Ehlinger,QB,38.6,4.55,331
Rashod Bateman,WR,38.5,4.71,332
Logan Thomas,TE,38.3,2.78,333
A.J. Green,WR,37.6,3.81,334
Colt McCoy,QB,35.8,4.35,335
C.J. Uzomah,TE,35.2,3.7,336
Jarvis Landry,WR,35.2,3.3,337
Michael Thomas,WR,35.1,5.0,338
Mo Alie-Cox,TE,34.9,4.91,339
Kyle Juszczyk,RB,34.6,2.27,340
Rex Burkhead,RB,34.4,2.64,341
Mark Ingram II,RB,34.1,2.51,342
Tre'Quan Smith,WR,33.8,3.44,343
Tommy Tremble,TE,33.4,2.99,344
Raheem Blackshear,RB,33.0,3.88,345
Trey McBride,TE,32.5,3.41,346
Kendall Hinton,WR,32.4,2.17,347
Chosen Anderson,WR,32.2,3.87,348
Jordan Mason,RB,31.8,2.57,349
Phillip Dorsett II,WR,31.7,2.85,350
Ty Johnson,RB,30.8,3.41,351
Harrison Bryant,TE,30.7,1.95,352
Sammy Watkins,WR,30.5,2.71,353
Marlon Mack,RB,30.3,4.17,354
Irv Smith Jr.,TE,30.2,2.76,355
Kylen Granson,TE,30.2,1.94,356
DeeJay Dallas,RB,30.2,2.65,357
Justice Hill,RB,30.0,1.94,358
Shane Zylstra,TE,30.0,4.94,359
Jake Ferguson,TE,29.4,2.8,360
Ameer Abdullah,RB,29.1,2.7,361
J.D. McKissic,RB,28.8,2.25,362
Dare Ogunbowale,RB,28.7,2.35,363
Wan'Dale Robinson,WR,28.6,3.31,364
Peyton Hendershot,TE,28.5,2.71,365
Malik Davis,RB,28.4,2.66,366
